production_version,name,local_file_on_main,relation,content_vs_ledger,rollback_file,destructive_statements,objects_defined,objects_present,classification
20260501185143,missionary_profiles_foundation,20260501164602_missionary_profiles_foundation.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260501203837,create_admin_users_allowlist,20260501201146_create_admin_users_allowlist.sql,same_name_other_version,DIFFERENT,,,,,schema-drift review required before any history change
20260501203857,create_financial_freedom_inquiries,20260501202545_create_financial_freedom_inquiries.sql,same_name_other_version,DIFFERENT,,,,,schema-drift review required before any history change
20260501204036,optimize_admin_rls_policies,20260501203951_optimize_admin_rls_policies.sql,same_name_other_version,DIFFERENT,,,,,schema-drift review required before any history change
20260501204151,optimize_admin_rls_jwt_select,20260501204109_optimize_admin_rls_jwt_select.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260501214245,add_financial_freedom_consent_fields,20260501214201_add_financial_freedom_consent_fields.sql,same_name_other_version,DIFFERENT,,,,,schema-drift review required before any history change
20260501214744,harden_financial_freedom_updated_at_function,20260501214715_harden_financial_freedom_updated_at_function.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260501215741,create_financial_freedom_uploads,20260501215702_create_financial_freedom_uploads.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260507162211,dos_foundation_schema,20260507162211_dos_foundation_schema.sql,same_version,IDENTICAL,,,,,already reconciled
20260507162735,dos_foundation_advisor_cleanup,20260507162735_dos_foundation_advisor_cleanup.sql,same_version,IDENTICAL,,,,,already reconciled
20260507191335,dos_relationship_insights,20260507141016_dos_relationship_insights.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260507203700,dos_lightweight_meeting_logging,20260507202645_dos_lightweight_meeting_logging.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260507212003,dos_meeting_outcome_markers,20260507211938_dos_meeting_outcome_markers.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260508123452,dos_discussion_guides_manual_movement,20260508123130_dos_discussion_guides_manual_movement.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260511235105,create_support_commitments_for_donor_intake,,no_local_file,NO_FILE,,,,,restore exact SQL from supabase_migrations.schema_migrations.statements
20260512000859,add_support_flyer_fields,20260511190906_add_support_flyer_fields.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260512122826,restore_form_submissions_inbox,,no_local_file,NO_FILE,,,,,restore exact SQL from supabase_migrations.schema_migrations.statements
20260512124235,giving_reconciliation_foundation,20260512073507_giving_reconciliation_foundation.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513150034,command_center_workspace_ids,20260507021718_command_center_workspace_ids.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513163252,dos_meetings_discipleship_engine,20260513162212_dos_meetings_discipleship_engine.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513163633,missionary_workspace_mvp_meeting_types_guarded,20260513163633_missionary_workspace_mvp_meeting_types_guarded.sql,same_version,IDENTICAL,,,,,already reconciled
20260513200806,restore_prayer_team_signup_tables,20260513201000_restore_prayer_team_signup_tables.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513200945,prayer_team_signup_advisor_cleanup,20260513202000_prayer_team_signup_advisor_cleanup.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513202001,dos_quick_reviews,20260513190000_dos_quick_reviews.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513202254,restore_prayer_team_operational_columns,20260513212000_restore_prayer_team_operational_columns.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513202838,add_dos_quick_review_fk_indexes,20260513202819_add_dos_quick_review_fk_indexes.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513204317,add_quick_review_fruit_moderation_statuses,20260513203424_add_quick_review_fruit_moderation_statuses.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260513204740,prayer_partner_application_lifecycle,20260513224500_prayer_partner_application_lifecycle.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260514170223,build_financial_intake_system,,no_local_file,NO_FILE,,,,,restore exact SQL from supabase_migrations.schema_migrations.statements
20260514190043,create_aligned_insights_inquiries,,no_local_file,NO_FILE,,,,,restore exact SQL from supabase_migrations.schema_migrations.statements
20260529173245,dos_field_people_household_mvp,20260529173245_dos_field_people_household_mvp.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260530171012,dos_prayer_logs,20260530171012_dos_prayer_logs.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260531200145,dos_circle_relationship_intelligence,20260526121446_dos_circle_relationship_intelligence.sql,same_name_other_version,IDENTICAL,,,,,rename local file to production version (no SQL runs)
20260531201235,dos_calendar_reminders_mvp,20260531201235_dos_calendar_reminders_mvp.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260531201359,dos_calendar_reminders_mvp_fk_indexes,20260531201359_dos_calendar_reminders_mvp_fk_indexes.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260601174954,dos_calendar_google_read_import,20260601174954_dos_calendar_google_read_import.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260601180618,dos_calendar_read_import_fk_indexes,20260601180618_dos_calendar_read_import_fk_indexes.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260601184834,usam_application_workflow,20260601184834_usam_application_workflow.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260601191526,dos_setup_household_placeholders,20260601191526_dos_setup_household_placeholders.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260601205200,link_ryan_brooke_usam_profile,20260601205200_link_ryan_brooke_usam_profile.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260605132928,allow_four_questions_conversation_flow,20260605132928_allow_four_questions_conversation_flow.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260605164908,usam_application_photos_bucket,20260605164908_usam_application_photos_bucket.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260606194623,usam_application_review_statuses,20260606194623_usam_application_review_statuses.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260627153000,public_profile_slug_fox_family,20260627153000_public_profile_slug_fox_family.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260627210000,dos_household_members_are_people,20260627210000_dos_household_members_are_people.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260629135120,dos_prayer_public_profile_bridge,20260629135120_dos_prayer_public_profile_bridge.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260629212205,show_prayer_team_count,20260629212205_show_prayer_team_count.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260630132126,canonical_person_prayer_partners,20260630132126_canonical_person_prayer_partners.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260701125400,prayer_partner_canonical_context,20260701125400_prayer_partner_canonical_context.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260703141054,dos_assessment_results,20260703141054_dos_assessment_results.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260703144217,quick_review_name_rating_metadata,20260703144217_quick_review_name_rating_metadata.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260704033834,dos_my_record,20260704033834_dos_my_record.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260704171602,dos_my_record_prophetic_words,20260704171602_dos_my_record_prophetic_words.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260704172801,dos_my_record_external_assessment_results,20260704172801_dos_my_record_external_assessment_results.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260706013016,dos_household_team_members_people,20260706013016_dos_household_team_members_people.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260706153343,dos_my_record_assessment_library_fields,20260706153343_dos_my_record_assessment_library_fields.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260706155318,dos_my_record_learning_books,20260706155318_dos_my_record_learning_books.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260707034007,dos_private_groups,20260707034007_dos_private_groups.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260707132434,dos_unified_prayer_context,20260707132434_dos_unified_prayer_context.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260707171021,seed_ryan_dos_groups,20260707171021_seed_ryan_dos_groups.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260707220719,dos_my_record_mentor_profile_fields,20260707220719_dos_my_record_mentor_profile_fields.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260708002057,dos_my_record_life_plan,20260708002057_dos_my_record_life_plan.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260708151213,dos_table_invitations,20260708151213_dos_table_invitations.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260709160043,dos_group_join_requests,20260709160043_dos_group_join_requests.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260711021920,dos_commitments_accountability,20260711021920_dos_commitments_accountability.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260712235050,dos_groups_simplification_shared_leadership,20260712235050_dos_groups_simplification_shared_leadership.sql,same_version,DIFFERENT,,,,,schema-drift review required before any history change
20260713022111,dos_identity_shared_leadership,20260713022111_dos_identity_shared_leadership.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260713113226,dos_resource_assignments,20260713113226_dos_resource_assignments.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260717143757,dos_public_groups_member_portal_foundation,20260717143757_dos_public_groups_member_portal_foundation.sql,same_version,IDENTICAL_NORMALIZED,,,,,already reconciled
20260728035152,communications_resend_subscribers,,no_local_file,NO_FILE,,,,,restore exact SQL from supabase_migrations.schema_migrations.statements
