Date,Description,Amount
01/02/2025,Sample Properties LLC - Office Rent,-1450.00
01/05/2025,Synthetic Donor A - General Fund Gift,1200.00
01/10/2025,Synthetic Donor B - General Fund Gift,500.00
01/15/2025,Gusto Payroll - January Run 1,-3200.00
01/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
01/20/2025,Sample Utility Co - Electric,-180.00
01/28/2025,Gusto Payroll - January Run 2,-3200.00
01/29/2025,Sample Insurance Group - General Liability,-320.00
02/02/2025,Sample Properties LLC - Office Rent,-1450.00
02/06/2025,Synthetic Donor C - General Fund Gift,750.00
02/12/2025,Synthetic Donor A - General Fund Gift,1200.00
02/15/2025,Gusto Payroll - February Run 1,-3200.00
02/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
02/18/2025,Sample Software Co - Subscription,-89.00
02/22/2025,Sample Utility Co - Electric,-175.00
02/28/2025,Gusto Payroll - February Run 2,-3200.00
03/02/2025,Sample Properties LLC - Office Rent,-1450.00
03/07/2025,Synthetic Donor B - General Fund Gift,500.00
03/14/2025,Synthetic CPA Group - Bookkeeping Services,-600.00
03/15/2025,Gusto Payroll - March Run 1,-3200.00
03/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
03/20/2025,Sample Utility Co - Electric,-182.00
03/28/2025,Gusto Payroll - March Run 2,-3200.00
04/02/2025,Sample Properties LLC - Office Rent,-1450.00
04/04/2025,Synthetic Donor D - Major Gift,25000.00
04/09/2025,Synthetic Donor A - General Fund Gift,1200.00
04/15/2025,Gusto Payroll - April Run 1,-3200.00
04/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
04/21/2025,Sample Utility Co - Electric,-179.00
04/28/2025,Gusto Payroll - April Run 2,-3200.00
05/02/2025,Sample Properties LLC - Office Rent,-1450.00
05/08/2025,Synthetic Donor C - General Fund Gift,750.00
05/12/2025,Synthetic Donor B - General Fund Gift,500.00
05/15/2025,Gusto Payroll - May Run 1,-3200.00
05/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
05/19/2025,Sample Software Co - Subscription,-89.00
05/28/2025,Gusto Payroll - May Run 2,-3200.00
06/02/2025,Sample Properties LLC - Office Rent,-1450.00
06/06/2025,Synthetic Donor A - General Fund Gift,1200.00
06/15/2025,Gusto Payroll - June Run 1,-3200.00
06/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
06/20/2025,Sample Utility Co - Electric,-190.00
06/24/2025,Sample Shipping Co - Postage,-45.00
06/28/2025,Gusto Payroll - June Run 2,-3200.00
07/02/2025,Sample Properties LLC - Office Rent,-1450.00
07/09/2025,Synthetic Donor B - General Fund Gift,500.00
07/14/2025,Synthetic CPA Group - Bookkeeping Services,-600.00
07/15/2025,Gusto Payroll - July Run 1,-3200.00
07/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
07/22/2025,Sample Utility Co - Electric,-186.00
07/28/2025,Gusto Payroll - July Run 2,-3200.00
08/02/2025,Sample Properties LLC - Office Rent,-1450.00
08/05/2025,Synthetic Donor C - General Fund Gift,750.00
08/11/2025,Synthetic Donor A - General Fund Gift,1200.00
08/15/2025,Gusto Payroll - August Run 1,-3200.00
08/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
08/19/2025,Sample Travel Co - Conference Travel,-540.00
08/28/2025,Gusto Payroll - August Run 2,-3200.00
09/02/2025,Sample Properties LLC - Office Rent,-1450.00
09/08/2025,Synthetic Donor B - General Fund Gift,500.00
09/15/2025,Gusto Payroll - September Run 1,-3200.00
09/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
09/20/2025,Sample Utility Co - Electric,-183.00
09/28/2025,Gusto Payroll - September Run 2,-3200.00
10/02/2025,Sample Properties LLC - Office Rent,-1450.00
10/06/2025,Synthetic Donor A - General Fund Gift,1200.00
10/13/2025,Synthetic Donor C - General Fund Gift,750.00
10/15/2025,Gusto Payroll - October Run 1,-3200.00
10/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
10/18/2025,Sample Software Co - Subscription,-89.00
10/28/2025,Gusto Payroll - October Run 2,-3200.00
11/02/2025,Sample Properties LLC - Office Rent,-1450.00
11/07/2025,Synthetic Donor B - General Fund Gift,500.00
11/14/2025,Synthetic CPA Group - Bookkeeping Services,-600.00
11/15/2025,Gusto Payroll - November Run 1,-3200.00
11/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
11/21/2025,Sample Utility Co - Electric,-188.00
11/26/2025,Unidentified Wire Transfer,-9800.00
11/28/2025,Gusto Payroll - November Run 2,-3200.00
12/02/2025,Sample Properties LLC - Office Rent,-1450.00
12/05/2025,Synthetic Donor A - Year-End Gift,3000.00
12/10/2025,Synthetic Donor C - Year-End Gift,1500.00
12/12/2025,Synthetic Donor E - Year-End Gift,900.00
12/15/2025,Gusto Payroll - December Run 1,-3200.00
12/16/2025,Gusto Payroll Taxes - EFTPS,-450.00
12/22/2025,Sample Insurance Group - General Liability,-320.00
12/28/2025,Gusto Payroll - December Run 2,-3200.00
